Var_Name,Var_Text
Q2, Do you think it will be best for the future of the country if we take an active part in world affairs or if we stay out of world affairs?Active part (1)Stay out (2)
Q3, What percentage of the public do you think favors taking an active part in world affairs?______ % (1)
Q5_NEW," Below is a list of possible threats to the vital interest of the United States in the next 10 years. For each one, please select whether you see this as a critical threat, an important but not critical threat, or not an important threat at all:Critical threat (1)Important but not critical threat (2)Not an important threat (3)Drug related violence and instability in Mexico (1)Islamic fundamentalism (4)The possibility of unfriendly countries becoming nuclear powers (5)Large numbers of immigrants and refugees coming into the US (6a)Climate change (8a)International terrorism (10)Russia’s territorial ambitions  (21)China’s economic power (23)China’s military power (24)A confrontation between North Korea and South Korea (27)An international financial crisis (28)North Korea’s nuclear program (29)Global gender inequality and/or laws and practices that constrain the rights of women (30)"
Q7," Below is a list of possible foreign policy goals that the United States might have. For each one please select whether you think that it should be a very important foreign policy goal of the United States, a somewhat important foreign policy goal, or not an important goal at all:Very important (1)Somewhat important (2)Not important at all (3)Combating international terrorism (3)Maintaining superior military power worldwide  (4a)Maintaining superior economic power worldwide  (4b)Protecting the jobs of American workers (5)Controlling and reducing illegal immigration  (8a)Limiting climate change  (9a)Preventing the spread of nuclear weapons (10)Combating world hunger (12)Defending our allies’ security (19)Improving America's standing in the world  (23)Improving the world’s environment (11b)Attaining U.S. energy independence (7b)Promoting the full participation of women and girls in their societies around the world  (30a)"
Q8," And how effective do you think each of the following approaches are to achieving the foreign policy goals of the United States – very effective, somewhat effective, not very effective, or not effective at all?Very effective   (1)Somewhat effective (2)Not very effective (3)Not effective at all (4)Strengthening the United Nations (1)Maintaining U.S. military superiority (2)Placing sanctions on other countries  (3)Signing free trade agreements with other countries (4)Maintaining existing alliances (5)Building new alliances with other countries  (6)Signing international agreements (7)Intervening militarily (8)"
Q11_NEW," What kind of leadership role should the United States play in the world? Should it be the dominant world leader, or should it play a shared leadership role, or should it not play any leadership role?Dominant world leader (1)Play a shared leadership role (2)Not play any leadership role (3)"
Q15," Thinking about the next generation of Americans who are children today, the way things are going, do you think economically they will be better off, worse off, or about the same as the generation of adults who are working today?Better off (1)Worse off (2)About the same (3)"
Q385, Which of the following do you think is more important in determining a country’s overall power and influence in the world?Economic strength (1)Military strength (2)
Q16_NEW," And now, thinking about U.S. national security, how important are the following regions to the security interests of the United States? Very important (1)Somewhat important (2)Not very important (3)Not at all important (4)Europe  (1)Asia-Pacific (2)The Middle East  (3)Africa  (4)Latin America (5)"
Q200," Do you feel we should increase our commitment to NATO, keep our commitment what it is now, decrease our commitment to NATO, or withdraw from NATO entirely? Increase commitment (1)Keep commitment same (2)Decrease commitment (3)Withdraw entirely (4)"
