Var_Name,Var_Text
Q3,. [S] Do you think it will be best for the future of the country if we take an active part in world affairs or if we stay out of world affairs?  1. Active part 2. Stay out   Scripter: Please create DOV_TRACKAB and randomly assign and record respondents to a value of 1   
Q5_NEW,". [Grid, SP Across MP Down] Below is a list of possible threats to the vital interest of the United States in the next 10 years. For each one, please select whether you see this as a critical threat, an important but not critical threat, or not an important threat at all:  Scripter: Please randomly select and record 10 statements to show the respondents.  Of the 10 statements selected, please randomize and record the order of the 10 statements shown.   Statements in row:  5/1. Drug related violence and instability in Mexico 5/4. Islamic fundamentalism 5/5. The possibility of unfriendly countries becoming nuclear powers 5/6a. Large numbers of immigrants and refugees coming into the U.S. 5/8a. Climate change [Scripter: Respondent is only eligible to see question if DOV_TRACKAB=1] 5/8b. Global warming [Scripter: Respondent is only eligible to see question if DOV_TRACKAB=2] 5/10. International terrorism    5/27. A confrontation between North Korea and South Korea  5/28. An international financial crisis   "
Q7,". [Grid, SP Across MP Down] Below is a list of possible foreign policy goals that the United States might have. For each one please select whether you think that it should be a very important foreign policy goal of the United States, a somewhat important foreign policy goal, or not an important goal at all:  Scripter: Please randomly select and record 10 statements to show the respondents.  Of the 10 statements selected, please randomize and record the order of the 10 statements shown.   Statements in row:  7/3. Combating international terrorism 7/4a. Maintaining superior military power worldwide  7/4b. Maintaining superior economic power worldwide  7/5. Protecting the jobs of American workers 7/8a. Controlling and reducing illegal immigration [Scripter: Respondent is only eligible to see question if DOV_Immigration=] 7/8b. Controlling and reducing undocumented immigration [Scripter: Respondent is only eligible to see question if ]  7/9a. Limiting climate change [Scripter: Respondent is only eligible to see question if DOV_TRACKAB=1] 7/9b. Limiting global warming [Scripter: Respondent is only eligible to see question if DOV_TRACKAB=2] 7/10. Preventing the spread of nuclear weapons 7/12. Combating world hunger ty 7/23. Improving America's standing in the world   7/7b. Attaining U.S. energy independence 7/30a. Promoting the full participation of women and girls in their societies around the world [Scripter: Respondent is only eligible to see question if DOV_Woman] 7/30b. Promoting the rights of women and girls around the world [Scripter: Respondent is only eligible to see question if DOV_Woman]  "
Q8,". [Grid, SP Across MP Down] And how effective do you think each of the following approaches are to achieving the foreign policy goals of the United States  very effective, somewhat effective, not very effective, or not effective at all?  Scripter: Please randomize and record the order of the statements in row.      310.209.00945.1_Chicago Council_2016 Biannual Survey_Main_Final Questionnaire_071216  4/19 8/1. Strengthening the United Nations 8/2. Maintaining U.S. military superiority 8/3. Placing sanctions on other countries  8/4. Signing free trade agreements with other countries 8/5. Maintaining existing alliances 8/6. Building new alliances with other countries  8/13. Signing international agreements 8/14. Intervening militarily  "
Q11_NEW," [S] What kind of leadership role should the United States play in the world? Should it be the dominant world leader, or should it play a shared leadership role, or should it not play any leadership role?  1. Dominant world leader 2. Play a shared leadership role 3. Not play any leadership role   "
Q385,"[S] influence in the world  [Scripter: if a h , if insert ]?  Scripter: Please randomize and record the order of the statements in row and the question text insert.   1. Economic strength 2. Military strength   "
Q21," [S] Some people say the United States has a unique character that makes it the greatest country in the world. Others say that every country is unique, and the United States is no greater than other nations. Which view is closer to your own?  1. The greatest country in the world 2. No greater than other nations   "
Q40," [Grid, SP Across MP Down] Do you think the United States should or should not have long-term military bases in the following places?  Scripter: Please randomize and record all statements in row     310.209.00945.1_Chicago Council_2016 Biannual Survey_Main_Final Questionnaire_071216  5/19  Statements in row:  40/1. Japan 40/3. South Korea 40/6. Germany 40/8. Australia  "
Q15,". [S] Thinking about the next generation of Americans who are children today, the way things are going, do you think economically they will be better off, worse off, or about the same as the generation of adults who are working today?  1. Better off 2. Worse off 3. About the same   "
Q15B,". [S] And thinking now about your parents when they were your age, do you think that economically they were better off, worse off, or about the same as you are today?  1. Better off 2. Worse off 3. About the same   "
