Survey_Number,Var_Name,Var_Text
5,OTHCREDT,OTHER PEOPLE TAKE CREDIT FOR RS WORK OR IDEAS
5,FRNDSEX,R HAD SEX WITH FRIEND LAST YEAR
5,SEX,SEX5SEX OF SEX PARTNERS LAST FIVE YEARS
5,WORDB,WORD B
5,WKAGEISM,R FEELS DISCRIMINATED BECAUSE OF AGE
5,CONFINAN,CONFID IN BANKS & FINANCIAL INSTITUTIONS
5,ENGDA,HAPPY IF DAUGHTER ENGINEER
5,MAOCCINDV,MOTHER'S OCC/IND VERBATIM RETRIEVED
5,RANK,10RS SOCIAL RANK 10 YEARS AGO
5,ENGPROB,ENGINEERS HELP SOLVE PROB
5,RELSP1,1RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
5,RELSP1,3RELATIONSHIP OF PERSON 13 TO SPOUSE OF HOUSEHO
5,EVCRACK,R EVER USE CRACK COCAINE
5,RELHHD1,RELATION OF 1ST PERSON TO HOUSEHOLD HEAD
5,SHOP1,WHO IN HOUSEHOLD SHOPS FOR GROCERIES
5,MAR4,MARITAL STATUS OF 4TH PERSON
5,ADVFRONT,SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
5,HARJOB5,"IN LAST 5 YRS, R HAS EVER BEEN HARASSED ON JOB BC R WAS BELIEVED TO BE GAY/LES/BI"
5,INCOME,16TOTAL FAMILY INCOME
5,FEPRESCH,PRESCHOOL KIDS SUFFER IF MOTHER WORKS
5,RACDIF1,DIFFERENCES DUE TO DISCRIMINATION
5,RES2010,WAS R LIVING IN USA DURING APRIL-JUNE 2010
5,RELHHD1,1RELATION OF 11TH PERSON (VISITOR) TO HEAD
5,SAMPLE,SAMPLING FRAME AND METHOD
5,SPKHOMO,ALLOW HOMOSEXUAL TO SPEAK
5,CONJUDGE,CONFID. IN UNITED STATES SUPREME COURT
5,OBEY,LAWSHOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
5,SEX,RESPONDENTS SEX
5,CONEDUC,YEDUCATION -- VERSION Z
5,NATRACE,ZIMPROVING CONDITIONS OF BLACKS -- VER Z
5,ENGODD,ENGINEERS ODD AND PECULIAR
5,NEWS,KILLI WOULD ACCEPT JOB THAT REQUIRES NEW SKILLS
5,RELATE1,1RELATION OF 11TH PERSON (VISITOR) TO HEAD
5,SOCFREND,SPEND EVENING WITH FRIENDS
5,TAX,POORTAXES ON LOW INCOME PEOPLE TOO HIGH
5,WORDC,WORD C
5,ENGGOOD,ENGINEERS WORK FOR GOOD OF HUMANITY
5,PRETEEN,HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
5,WHERE1,0WHERE IS 1OTH PERSON STAYING?
5,GRADTOUNDER,RATIO OF GRADUATE STUDENTS TO UNDERGRADUATE STUDENTS IN COLLEGE RESPONDEN
5,DECKIDS,WHO MAKES DECISION ABOUT HOW TO BRING UP CHILDREN
5,COURTS,YCOURTS DEALING WITH CRIMINALS-VERSION Y
5,REALINC,FAMILY INCOME IN CONSTANT $
5,RACE,CEN2WHAT IS RS RACE 2ND MENTION
5,HELPHWRK,HELPED SOMEONE WITH HWORK DURING PAST 12 MONTHS
5,BMITZVAH,R HAD BAR OR BAT MITZVAH WHEN R WAS A CHILD
5,RELHHD8,RELATION OF 8TH PERSON TO HOUSEHOLD HEAD
5,MAIND10,MOTHERS INDUSTRY CODE (NAICS 2007)
5,GOODLIFE,STANDARD OF LIVING OF R WILL IMPROVE
5,SCIFROM,MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY
5,RELHHD7,RELATION OF 7TH PERSON TO HOUSEHOLD HEAD
5,DENYRAIS,DENIED RAISE WITHOUT REASON AT WORK
5,CARECOST,WHO SHOULD PAY FOR COSTS OF CARE FOR UNDER SCHOOL AGE CHILD
5,PAIDLV,PYWHO PAYS FOR LEAVE
5,NATFARE,YASSISTANCE TO THE POOR -- VERSION Y
5,NUMWOMEN,NUMBER OF FEMALE SEX PARTNERS SINCE 18
5,RACE,THMNWHAT RACE/ETH IS OTHER REFERRING TO
5,WWWMIN,OMINUTES PER WEEK USING OTHER COMPUTER WWW
5,AGE,WEDAGE WHEN FIRST MARRIED
5,RACE,THBLPOINTS ASSIGNED TO BLACK/AFRICAN AMERICAN
5,PHASE,SUBSAMPLING: TWO-PHASE DESIGN.
5,HSCHEM,R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
5,CONINC,FAMILY INCOME IN CONSTANT DOLLARS
5,NATHEAL,IMPROVING & PROTECTING NATIONS HEALTH
5,SCIENTSN,HAPPY IF SON SCIENTIST
5,NATAIDY,ASSISTANCE TO OTHER COUNTRIES -- VER Y
5,FAMWKBST,BEST WAY TO ORG FAMILY WORK LIFE WITH UNDER SCHOOL AGE CHILD
5,ENGLONE,ENGINEERS USUALLY WORK ALONE
5,ACCNTSCI,HOW SCIENTIFIC: ACCOUNTING
5,JOBFIND,1HOW EASY FOR R TO FIND A SAME JOB
5,RELIG,5RELIGIOUS PREFERENCE OF PERSON #5
5,EVOLVED,1HUMANS DEVELOPED FROM EARLIER SPECIES: TRUE OR FALSE
5,INTINTL,INTERESTED IN INTERNATIONAL ISSUES
5,KIDNOFRE,KIDS INTERFERE WITH PARENTS' FREEDOM
5,HHWKFAIR,SHARING OF HH WORK BETWEEN R AND SPOUSE
5,PASEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN PAOCC10 BASED ON ACS 2010
5,ABNOMORE,MARRIED--WANTS NO MORE CHILDREN
5,MAJORCOL,THE FIELD OF DEGREE R EARNED
5,POLEFY15,HOW INFORMED ABOUT POLITICS
5,NEWS,FROMMAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
5,RELIG,4RELIGIOUS PREFERENCE OF PERSON #4
5,RELIG16,RELIGION IN WHICH RAISED
5,SEEKSCI,PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES
5,SEXSEX,5SEX OF SEX PARTNERS LAST FIVE YEARS
5,AWAY7,IS 7TH PERSON STAYING SOMEWHERE ELSE NOW?
5,RELIG,1RELIGIOUS PREFERENCE OF PERSON #1
5,VERSION,VERSION OF QUESTIONNAIRE
5,THNKSELF,TO THINK FOR ONES SELF
5,PAIND10,FATHERS INDUSTRY CODE (NAICS 2007)
5,MAPRES10,MOTHER'S OCCUPATIONAL PRESTIGE SCORE (2010)
5,EMAILHR,EMAIL HOURS PER WEEK
5,SEXORNT,SEXUAL ORIENTATION
5,ACQNTSEX,R HAD SEX WITH ACQUAINTANCE LAST YEAR
5,SPEDUC,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE"
5,OTH16,OTHER PROTESTANT DENOMINATIONS
5,RELATE1,3RELATION OF 13TH PERSON (VISITOR) TO HEAD
5,RPLACE,R'S RELATIONSHIP TO HOUSEHOLD HEAD
5,SPKLANG,1WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
5,VOEDNCOL,NON-COLLEGE POSTSECONDARY EDUCATION (VOEDNME2)
5,NATCRIMY,LAW ENFORCEMENT -- VERSION Y
5,ODDS2,TEST OF KNOWLEDGE ABOUT PROBABLITY2
5,WHERE1,2WHERE IS 12TH PERSON (VISITOR) STAYING?
5,WKNDACT,WHO DECIDES WEEKEND ACTIVITIES
5,WORDF,WORD F
5,MAR12,MARITAL STATUS OF 12TH PERSON (VISITOR)
5,AWAY1,0IS 10TH PERSON STAYING SOMEWHERE ELSE NOW?
5,SCIENTMO,SCIENTISTS EARN LESS
5,SCIENTOD,SCIENTISTS ODD AND PECULIAR
5,PAIDLVPY,WHO PAYS FOR LEAVE
5,RELIG,RS RELIGIOUS PREFERENCE
5,SPKATH,ALLOW ANTI-RELIGIONIST TO SPEAK
5,SCINEWS1,NEWSPAPER PRINTED OR ONLINE
5,LENTTO,LENT MONEY TO ANOTHER PERSON PAST 12 MONTHS
5,DIFSTAND,SOME PPL HOLD STANDARD IN WORKPLACE THAT OTHERS DON™T
5,OLD7,AGE OF 7TH PERSON
5,PAJWOTH,R'S DAD WAS JEWISH WHEN R WAS GROWING UP
5,NATARMS,"MILITARY, ARMAMENTS, AND DEFENSE"
5,CAREPROV,WHO SHOULD PROVIDE CHILDCARE FOR UNDER SCHOOL AGE CHILD
5,GENDER1,4GENDER OF 14TH PERSON (VISITOR)
5,EDUC,30R USE EDUCATION SITE IN PAST 30 DAYS
5,BIGBANG,2UNIVERSE EXPANDING SINCE IT BEGAN: TRUE OR FALSE
5,FAMVSWK1,HOW OFTEN DIFFICULT TO CONC AT WORK BECAUSE FAMILY RESP
5,OLD1,0AGE OF 1OTH PERSON
5,RINCOME,RESPONDENTS INCOME
5,HOTCORE,SCI KNOWLEDGE: THE CENTER OF EARTH IS VERY HOT
5,TAX,SHARESHOULD RICH PAY BIGGER SHARE OF TAXES?
5,WORDJ,WORD J
5,DIVORCE,EVER BEEN DIVORCED OR SEPARATED
5,VOLACTY2,DONE OTHER TYPES OF VOLUNTEERING FOR CHILD'S SCHOOL OR YOUTH ORG
5,RELSP4,RELATIONSHIP OF PERSON 4 TO SPOUSE OF HOUSEHOL
5,PISTOL,PISTOL OR REVOLVER IN HOME
5,SPOCCINDV,SPOUSE'S OCC/IND VERBATIM RETRIEVED
5,SPOCC10,SPOUSE CENSUS OCCUPATION CODE (2010)
5,INTID,INTERVIEWER ID
5,RACE,CEN1WHAT IS RS RACE 1ST MENTION
5,TEENSEX,SEX BEFORE MARRIAGE -- TEENS 14-16
5,JOBINC,HIGH INCOME
5,WKYNGSCL,DID R WORK OUTSIDE HOME AFTER CHILD STARTED SCHOOL
5,GIVBLOOD,R DONATED BLOOD DURING THE PAST 12 MONTHS
5,ATTEND,MAFREQ OF R'S MOM'S RELIG SVC ATTENDANCE
5,GUNLAW,FAVOR OR OPPOSE GUN PERMITS
5,HUNT,FISHWENT HUNTING OR FISHING IN LST YR  
5,POLEFF13,HAVE A PRETTY GOOD UNDERSTANDING OF ISSUES              
5,ID,RESPONDENT ID NUMBER                                
5,AGE,DSHOULD AGED LIVE WITH THEIR CHILDREN
5,GENDER3,GENDER OF 3RD PERSON
5,VOLMONTH,VOLUNTEER IN LAST MONTH
5,ATTEND,12FREQ OF R'S RELIG SVC ATTENDANCE AT AGE 12
5,SCIENTDO,KNOW WHAT SCIENTISTS DO
5,RELATE14,RELATION OF 14TH PERSON (VISITOR) TO HEAD
5,ENGNRSCI,HOW SCIENTIFIC: ENGINEERING
5,DEGREE,RS HIGHEST DEGREE
5,NEWS,30R USE NEWS SITE IN PAST 30 DAYS
5,GENDER8,GENDER OF 8TH PERSON
5,MAR11,MARITAL STATUS OF 11TH PERSON (VISITOR)
5,BORN,WAS R BORN IN THIS COUNTRY
5,SCIENTRE,SCIENTISTS NOT RELIGIOUS
5,TALKEDTO,TALKED WITH SOMEONE DEPRESSED PAST 12 MONTHS
5,MATESEX,WAS 1 OF RS PARTNERS SPOUSE OR REGULAR
5,GRASS,SHOULD MARIJUANA BE MADE LEGAL
5,GRASS,YSHOULD MARIJUANA BE LEGAL-VERSION Y
5,FAIR,EARNHOW FAIR IS WHAT R EARN ON THE JOB
5,RACE,THNAPOINTS ASSIGNED TO NATIVE AMERICAN/AMERICAN INDIAN
5,RES16,1WHERE SPEND CHILDHOOD UNTIL AGE 16?  
5,ARCHITCT,HOW SCIENTIFIC IS ARCHITECTURE
5,FEAR,AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD
5,SEX,ORNTSEXUAL ORIENTATION
5,ENGFUN,ENGINEERS DON™T HAVE FUN
5,HISTSCI,HOW SCIENTIFIC: HISTORY
5,AWAY5,IS 5TH PERSON STAYING SOMEWHERE ELSE NOW?
5,NATCITY,ZSOLVING PROBLEMS OF BIG CITIES -- VER Z
5,RELHH2,RELATIONSHIP OF PERSON 2 TO HEAD OF HOUSEHOLD
5,SPPRES105PLUS,SPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
5,OLD11,AGE OF 11TH PERSON (VISITOR)
5,RELATE12,RELATION OF 12TH PERSON (VISITOR) TO HEAD
5,SEXSEX18,"SINCE AGE 18, HAVE YOUR SEX PARTNERS BEEN–"
5,SLSMNSHP,HOW SCIENTIFIC IS SALESMANSHIP
5,RELHHD9,RELATION OF 9TH PERSON TO HOUSEHOLD HEAD
5,ENGBRNG,BEING ENGINEER BORING
5,TAX,MIDTAXES ON MIDDLE INCOME PEOPLE TOO HIGH
5,PASEI10,INCPERCENTAGE OF $45K+ EARNERS IN PAOCC10 BASED ON ACS 2010
5,MAJWOTH,R'S MOM WAS JEWISH WHEN R WAS GROWING UP
5,POLESCAP,CITIZEN ATTEMPTING TO ESCAPE CUSTODY
5,ABDEFECT,STRONG CHANCE OF SERIOUS DEFECT
5,COLSCI,NMNUMBER OF COLLEGE-LEVEL SCI COURSES R HAVE TAKEN
5,NATARMS,YNATIONAL DEFENSE -- VERSION Y
5,VOEDNME2,POSTSECONDARY INSTITUTION ATTENDED FOR CREDIT
5,SCIENTBR,BEING A SCIENTIST BORING
5,GIVCHRTY,R HAS GIVEN MONEY TO A CHARITY
5,AWAY2,IS 2ND PERSON STAYING SOMEWHERE ELSE NOW?
5,COOP,RS ATTITUDE TOWARD INTERVIEW
5,INDUS10,RS INDUSTRY CODE (NAICS 2007)
5,PAINDSTATUS,PAIND10 CODING STATUS
5,RELHHD6,RELATION OF 6TH PERSON TO HOUSEHOLD HEAD
5,SEX,PROMOSEX MAKES YOUR PROMOTION DIFFERENT
5,AGE,AGE OF RESPONDENT
5,HRS2,NUMBER OF HOURS USUALLY WORK A WEEK
5,INTMED,INTERESTED IN MEDICAL DISCOVERIES
5,EFTOTLT,TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE RESPONDENT ATTENDED
5,PAPRES105PLUS,FATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
5,MOBILE16,GEOGRAPHIC MOBILITY SINCE AGE 16
5,PHYSCSCI,HOW SCIENTIFIC: PHYSICS
5,POLEFY3,AVG CITIZEN INFLUENCE ON POLITICS
5,SIZE,SIZE OF PLACE IN 1000S
5,COMPUSE,R USE COMPUTER
5,HIVTEST1,IN WHAT MONTH AND YEAR WAS YOUR LAST HIV TEST
5,CONLABOR,CONFIDENCE IN ORGANIZED LABOR
5,CONLEGIS,CONFIDENCE IN CONGRESS
5,NATSCI,SUPPORTING SCIENTIFIC RESEARCH        
5,HEALTH,30R USE HEALTH SITE IN PAST 30 DAYS
5,PREMARSX,SEX BEFORE MARRIAGE
5,TWOINCS1,BOTH MEN AND WOMEN SHOULD CONTRIBUTE TO INCOME
5,MAOCCSTATUS,MAOCC10 CODING STATUS
5,WHERE4,WHERE IS 4TH PERSON STAYING?
5,CONCLERG,CONFIDENCE IN ORGANIZED RELIGION
5,DATEINTV,DATE OF INTERVIEW
5,AGE,3AGE OF PERSON #3
5,ID,ECIDEMY JOB ALLOWS ME MAKE PART DECISIONS
5,BALNEG,SCI RESEARCH IS STRONGLY IN FAVOR OF HARMFUL RESULTS
5,COHABOK,LIVING TOGETHER AS AN ACCEPTABLE OPTION
5,HELPNOT,SHOULD GOVT DO MORE OR LESS?
5,SPWRKSTA,SPOUSE LABOR FORCE STATUS
5,ATTEND,HOW OFTEN R ATTENDS RELIGIOUS SERVICES
5,RACE,THOTPOINTS ASSIGNED TO OTHER
5,RELHH1,2RELATIONSHIP OF PERSON 12 TO HEAD OF HOUSEHOLD
5,ELDERSUP,ADULT CHILDREN ARE IMP TO HELP ELDERLY PARENTS
5,SOCBAR,SPEND EVENING AT BAR
5,HAPCOHAB,HAPPINESS OF RELT WITH PARTNER
5,GENDER9,GENDER OF 9TH PERSON
5,GENDER1,GENDER OF 1ST PERSON
5,WKKIDSCL,DID R WORK OUTSIDE HOME WITH CHILD UNDER SCHOOL AGE
5,AWAY6,IS 6TH PERSON STAYING SOMEWHERE ELSE NOW?
5,INTLBLKS,UNINTELLIGENT - INTELLIGENT
5,MEDSCI,HOW SCIENTIFIC: MEDICINE
5,OLD1,1AGE OF 11TH PERSON (VISITOR)
5,AGE,KDBRNR'S AGE WHEN 1ST CHILD BORN
5,BIBLE,YFEELINGS ABOUT THE BIBLE -- VERSION Z
5,MAR13,MARITAL STATUS OF 13TH PERSON (VISITOR)
5,DENOM,SPECIFIC DENOMINATION
5,EDUC,1EDUCATION LEVEL OF PERSON #1
5,FEAR,HOMEDOES R FEEL SAFE AND SECURE AT HOME
5,FORM,WTWEIGHT DEAL WITH EXPERIMENTAL RANDOMIZATION
5,LOOKAWAY,PPL LOOK THE OTHER WAY WHEN OTHERS ARE THREATENED
5,RACE,2RACE OF PERSON NUMBER 2
5,CONRINC,RESPONDENT INCOME IN CONSTANT DOLLARS
5,RACE,4RACE OF PERSON NUMBER 4
5,SYNMEM,"R BELONGS TO A SYNAGOGUE, TEMPLE, MINYAN, OR HIGH HOLIDAY CONGREGATION"
5,CHILDS,NUMBER OF CHILDREN
5,OCCSTATUS,OCC10 CODING STATUS
5,OLD14,AGE OF 14TH PERSON (VISITOR)
5,SATJOB,1JOB SATISFACTION IN GENERAL
5,BIGBANG1,UNIVERSE BEGAN WITH A BIG EXPLOSION: TRUE OR FALSE
5,MAR6,MARITAL STATUS OF 6TH PERSON
5,NEXTGEN,SCIENCE & TECH. GIVE MORE OPPORTUNITIES TO NEXT GENERATION
5,CLOSEWHT,HOW CLOSE FEEL TO WHITES  
5,POLEFY17,HOW MANY GOVT ADMINS CAN BE TRUSTED TO DO WHAT'S BEST
5,VETYEARS,YEARS IN ARMED FORCES
5,WWWMIN,WMINUTES PER WEEK USING WORK COMPUTER WWW
5,INCOME,91TOTAL FAMILY INCOME
5,DISCAFF,WA WOMAN WON'T GET A JOB OR PROMOTION             
5,RES16,TYPE OF PLACE LIVED IN WHEN 16 YRS OLD
5,RELHH3,RELATIONSHIP OF PERSON 3 TO HEAD OF HOUSEHOLD
5,CLASS,ICLLIKE OR DISLIKE CLASSICAL MUSIC  
5,NATCITY,YASSISTANCE TO BIG CITIES -- VERSION Y
5,RANK,RS SELF RANKING OF SOCIAL POSITION
5,HOMPOP,NUMBER OF PERSONS IN HOUSEHOLD
5,LNGTHINV,HOW LONG WAS INTERVIEW
5,SEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN OCC10 BASED ON ACS 2010
5,TEENS,EXSEX BEFORE MARRIAGE -- TEENS 14-16
5,POLEFY13,UNDERSTAND ISSUES FACING COUNTRY
5,PRAYER,BIBLE PRAYER IN PUBLIC SCHOOLS
5,BIOSCI,HOW SCIENTIFIC: BIOLOGY
5,AGED,PARSHOULD AGED LIVE WITH THEIR CHILDRENAGEDCHLDSHOULD GROWN CHILDREN LIVE WITH PARENTSWEEKSWRKWEEKS R. WORKED LAST YEAR
5,DIVBEST,DIVORCE AS BEST SOLUTION TO MARITAL PROBLEMS
5,WKSUP,DOES R OR SPOUSE SUPERVISE ANYONE
5,RES2008,WAS R LIVING IN USA DURING APRIL-JUNE 2008
5,TRUST,CRTWOULD TRUST THE COURTS                  
5,CONDOM,USED CONDOM LAST TIME  
5,NUMCONG,NUMBER OF MEMBERS OF THE CONGREGATION         
5,RACLIVE,ANY OPP. RACE IN NEIGHBORHOOD
5,OVERSAMP,WEIGHTS FOR BLACK OVERSAMPLES
5,UNION,SOKHOW GOOD UNION FOR THE COUNTRY
5,POLVIEWS,THINK OF SELF AS LIBERAL OR CONSERVATIVE
5,WHERE6,WHERE IS 6TH PERSON STAYING?
5,DIRECTNS,R HAS GIVEN DIRECTIONS TO A STRANGER
5,RELHHD12,RELATION OF 12TH PERSON (VISITOR) TO HEAD
5,XNORCSIZ,EXPANDED NORC. SIZE CODE
5,BALPOS,SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS
5,HSBIO,R EVER TOOK A HIGH SCHOOL BIOLOGY COURSE
5,MAR2,MARITAL STATUS OF 2ND PERSON
5,OLD9,AGE OF 9TH PERSON
5,AWAY1,1IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
