Var_Name,Var_Text
EDUC,EMPIMPORTANCE OF EDUC & QUALIF. TO PAY
NATCITY,SOLVING PROBLEMS OF BIG CITIES
NATDRUGY,DRUG REHABILITATION -- VERSION Y
PROUDART,HOW PROUD ITS ACHIEVEMENTS IN THE ARTS & LIT.    
MARWHT,R FAVOR CLOSE RELATIVE MARRYING WHITE PERSON
OLD5,AGE OF 5TH PERSON
WHOELSE3,PRESENCE OF OTHERS: SPOUSE PARTNER
OWNGUN,HAVE GUN IN HOME
CONDOM,USED CONDOM LAST TIME  
MAR14,MARITAL STATUS OF 14TH PERSON (VISITOR)
YEAR,LYWHAT IS YOUR YEARLY WAGE BEFORE TAX           
TRUST,CAN PEOPLE BE TRUSTED
UNION,SBDSTRONG TRADE UNIONS ARE BAD FOR US ECONOMY
WLTHBLKS,RICH - POOR
HAPPY,7HOW HAPPY R IS
POLVIEWS,THINK OF SELF AS LIBERAL OR CONSERVATIVE
ATTRALLY,ATTENDED A POLITICAL MEETING OR RALLY  
TEENSEX,SEX BEFORE MARRIAGE -- TEENS 14-16
EFFCTSUP,SUPERVISOR EFFECTIVE SOLVE WORK/PERSONAL CONFLICTS
MARHOMO,HOMOSEXUALS SHOULD HAVE RIGHT TO MARRY
COLMSLM,ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN TEACHING IN COLLEGE
HIVTEST,1IN WHAT MONTH AND YEAR WAS YOUR LAST HIV TEST
INTTECH,INTERESTED IN TECHNOLOGIES
DENOM,SPECIFIC DENOMINATION
FORM,LDYSTHE NUMBER OF DAYS IN FORMAL TRAINING         
PRESTG10,5PLUSRS OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
GOD,SWILLHOW LIKELY X S SITUATION CAUSED BY GOD S WILL
BUYPOL,HOW IMPORTANT TO CHOOSE PRODUCTS FOR POL REASONS
RINCBLLS,INCOME ALONE IS ENOUGH
SPHRS1,NUMBER OF HRS SPOUSE WORKED LAST WEEK
PARTYID,POLITICAL PARTY AFFILIATION
OLD4,AGE OF 4TH PERSON
RELHHD10,RELATION OF 1OTH PERSON TO HOUSEHOLD HEAD
NATFAREY,ASSISTANCE TO THE POOR -- VERSION Y
JOBFIND,1HOW EASY FOR R TO FIND A SAME JOB
UNION,GODDESIRE TO BE CLOSER TO GOD                    
SEX,SEXSEX OF SEX PARTNERS IN LAST YEAR
DENOM,16DENOMINATION IN WHICH R WAS RAISED
EVOLVED,1HUMANS DEVELOPED FROM EARLIER SPECIES: TRUE OR FALSE
GENDER1,1GENDER OF 11TH PERSON (VISITOR)
PARTTEAM,R WORK AS PART OF A TEAM
AWAY3,IS 3RD PERSON STAYING SOMEWHERE ELSE NOW?
SPEDUC,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE"
PROMTEFR,PROMOTIONS ARE HANDLED FAIRLY
SEXSEX,"18SINCE AGE 18, HAVE YOUR SEX PARTNERS BEEN–"
DISCAFF,MA MAN WON'T GET A JOB OR PROMOTION  
DIVORCE,5DIVORCED IN LAST 5 YRS
WHERE1,3WHERE IS 13TH PERSON (VISITOR) STAYING?
DISCAFF,YCHANCE BLACKS PROMOTED AHEAD OF WHITES
INTERPOL,JOINED AN INTERNET POLITICAL FORUM  
OTHER,WRKDOES R HAVE ANY ADDITIONAL JOB
CRIMLOSE,PEOPLE CONVICTED OF SERIOUS CRIMES LOSE CITIZEN RIGHTS
HSCHEM,R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
CAPPUN,2DOES R FAVOR CAPITAL PUNISHMENT
SEX,ORNTSEXUAL ORIENTATION
AGE,RELEXAGE OF R AT RELIGIOUS EXPERIENCE
IMPORTS,AMERICA SHOULD LIMIT THE IMPORT  
SEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN OCC10 BASED ON ACS 2010
SCITEXT,WHAT IT MEANS TO R TO STUDY SCIENTIFICALLY
SEX,UNIONSEX OF R'S SPOUSE/CIVIL UNION PARTNER/DOMESTIC PARTNER
RACE,CEN3WHAT IS RS RACE 3RD MENTION
NUMWOMEN,NUMBER OF FEMALE SEX PARTNERS SINCE 18
WORDI,WORD I
REALRINC,RS INCOME IN CONSTANT $
TRUST,5PEOPLE CAN OR CANNOT BE TRUSTED
CONDEMND,R FREE FROM CONFLICTING DEMANDS
FAIR,WHTSWHITES COMMITTED TO FAIR AND EQUAL TREATMENT OF
POLNEWS,HOW OFTEN USE MEDIA TO GET POLITICAL NEWS
SCINEWS2,MAGAZINE PRINTED OR ONLINE
INCOM16,RS FAMILY INCOME WHEN 16 YRS OLD
EMPINPUT,R INVOLVED IN ANY TASK FORCE FOR DECISION-MAKING
IF12WHO,WHO WOULD R HAVE VOTED FOR IN 2012 ELECTION
WORKDIFF,R DOES NUMEROUS THINGS ON JOB
WKFREEDM,A LOT OF FREEDOM TO DECIDE HOW TO DO JOB
EFTOTLT,TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE RESPONDENT ATTENDED
HLTHALL,HEALTHCARE PROVIDED FOR EVERYONE
JOBSEC,NO DANGER OF BEING FIRED
ADVFRONT,SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
FAIR,HSPSHISPANICS COMMITTED TO FAIR AND EQUAL TREATMENT
RACE,4RACE OF PERSON NUMBER 4
COLHOMO,ALLOW HOMOSEXUAL TO TEACH
MADEG,MOTHERS HIGHEST DEGREE
AWAY14,IS 14TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
ABANY,ABORTION IF WOMAN WANTS FOR ANY REASON
RACE,RACE OF RESPONDENT
WKSUB,DOES R OR SPOUSE HAVE SUPERVISOR
RELHH10,RELATIONSHIP OF PERSON 10 TO HEAD OF HOUSEHOLD
STRESS12,STRESS MANAGEMENT PROGRAM LAST 12 MONTHS
AGE,2AGE OF PERSON #2
CONSCI,CONFIDENCE IN SCIENTIFIC COMMUNITY
SPKATH,ALLOW ANTI-RELIGIONIST TO SPEAK
CONEDUC,YEDUCATION -- VERSION Z
RELHH1,1RELATIONSHIP OF PERSON 11 TO HEAD OF HOUSEHOLD
HLTHDAYS,DAYS OF ACTIVITY LIMITATION PAST 30 DAYS
PIKUPSEX,R HAD SEX WITH CASUAL DATE LAST YEAR
RELIG,2RELIGIOUS PREFERENCE OF PERSON #2
EXPTEXT,WHY IS IT BETTER TO TEST DRUG THIS WAY
RELSP9,RELATIONSHIP OF PERSON 9 TO SPOUSE OF HOUSEHOL
RACE,THASPOINTS ASSIGNED TO ASIAN AMERICAN
TRUST,FAMWOULD TRUST MY FAMILY                   
AIDSLOOK,A HEALTH-LOOK PERSON MAY HAVE AIDS
SPOTHER,OTHER PROTESTANT DENOMINATIONS
WHERE4,WHERE IS 4TH PERSON STAYING?
HEALTH,12R USE WEB FOR HEALTH INFORMATION IN PAST 12 MON
RELSP1,1RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
HEALTH1,RS HEALTH IN GENERAL
LIBMIL,ALLOW MILITARISTS BOOK IN LIBRARY
AGE,RBORNAGE OF R AT BORN-AGAIN EXPERIENCE
JOBINC,HIGH INCOME
TEENS,HOUSEHOLD MEMBERS 13 THRU 17 YRS OLD
CONFED,YEXEC BRANCH FED GOVT -- VERSION Z
PRAY,ERYBIBLE PRAYER IN SCHOOLS-VERSION Y
RELATE2,RELATIONSHIP OF 2ND PERSON TO HOUSEHOLD HEAD
BOYORGRL,SCI KNOWLEDGE: FATHER GENE DECIDES SEX OF BABY
CLASS,SUBJECTIVE CLASS IDENTIFICATION
TRUST,INGMOST PEOPLE CAN BE TRUSTED                    
RELIG,KIDRELIGION R WAS RAISED IN
AGE,5AGE OF PERSON #5
DISCAFFM,A MAN WON'T GET A JOB OR PROMOTION  
WWWMIN,WMINUTES PER WEEK USING WORK COMPUTER WWW
TOOFAST,SCIENCE MAKES OUR WAY OF LIFE CHANGE TOO FAST
SPANINT,"IF NO SPANISH, R COULD HAVE BEEN INTERVIEWED IN ENGLISH"
