,Survey_ID,Var_Name,Var_Text
0,OLSAnimal,ID,Respondent serial
1,OLSAnimal,Q1,How well informed do you feel about the use of animals in scientific research in the UK?
2,OLSAnimal,Q2a,Interested in finding out more about the ongoing work to find alternatives to using animals in research?
3,OLSAnimal,Q2b,Interested in finding out more about the ongoing work to improve the welfare of animals in scientific research?
4,OLSAnimal,Q3a,I can accept the use if animals in research as long as it is for medical research purposes and there is no alternative
5,OLSAnimal,Q3b,There needs to be more work done into alternatives to using animals in scientific research
6,OLSAnimal,Q3c,I can accept the use of animals in scientific research as long as there is no unnecessary suffering to the animals
7,OLSAnimal,Q3d,Animals should not be used in any scientific research because of the importance I place on animal welfare
8,OLSAnimal,Q3e,It does not bother me if animals are used in scientific research
9,OLSAnimal,Q3f,The use of animals for medical research should only be conducted for life
10,OLSAnimal,Q3g,The UK government should ban the use of animals for any form of research
11,OLSAnimal,Q3h,"Acceptable to use animals in research to help our understanding of the human body, where there is no alternative"
12,OLSAnimal,Q3i,"Acceptable to use animals in research to help our understanding of animal health, where there is no alternative"
13,OLSAnimal,Q3j,Acceptable to use animals for all types of research where there is no  alternative
14,OLSAnimal,Q3k,Acceptable to use animals in scientific research to test chemicals that could harm people
15,OLSAnimal,Q3l,"Acceptable to use animals in scientific research to test chemicals that could harm pets, farm animals or wildlife"
16,OLSAnimal,Q3m,Acceptable to use animals in scientific research to test chemicals that could harm plants or the environment
17,OLSAnimal,Q4_1,Which of these is true?: The use of animals for medical research purposes is important to human health
18,OLSAnimal,Q4_2,Which of these is true?: Scientists could do more to reduce the suffering of animals used in scientific research
19,OLSAnimal,Q4_3,Which of these is true?: Scientific research using animals is not always carried out to high standards
20,OLSAnimal,Q4_4,Which of these is true?: Scientific research is carried out on animals only  when there is no alternative
21,OLSAnimal,Q4_5,Which of these is true?: Researchers are working to find alternatives to using animals in scientific research
22,OLSAnimal,Q4_6,Which of these is true?: Don
23,OLSAnimal,Q4_7,Which of these is true?: None of these
24,OLSAnimal,Q5a,I do not trust the regulatory system around the use of animals in scientific research
