,Survey_Number,Survey_ID,Var_Name,Var_Text,Data_Link
0,2,OLSAnimal,Q7_20,Sources of balanced information about use of: Don,http://bit.ly/2ELRqy1
1,2,OLSAnimal,Q8_1,Receive information about use of animals in research?: Billboards ,http://bit.ly/2ELRqy1
2,2,OLSAnimal,Q8_2,Receive information about use of animals in research?: General interest magazines,http://bit.ly/2ELRqy1
3,2,OLSAnimal,Q8_3,Receive information about use of animals in research?: Specialist magazines ,http://bit.ly/2ELRqy1
4,2,OLSAnimal,Q8_4,Receive information about use of animals in research?: Local newspapers,http://bit.ly/2ELRqy1
5,2,OLSAnimal,Q8_5,Receive information about use of animals in research?: National newspapers,http://bit.ly/2ELRqy1
6,2,OLSAnimal,Q8_6,Receive information about use of animals in research?: Websites,http://bit.ly/2ELRqy1
7,2,OLSAnimal,Q8_7,Receive information about use of animals in research?: Local radio,http://bit.ly/2ELRqy1
8,2,OLSAnimal,Q8_8,Receive information about use of animals in research?: National radio,http://bit.ly/2ELRqy1
9,2,OLSAnimal,Q8_9,Receive information about use of animals in research?: School ,http://bit.ly/2ELRqy1
10,2,OLSAnimal,Q8_10,Receive information about use of animals in research?: Social media,http://bit.ly/2ELRqy1
11,2,OLSAnimal,Q8_11,Receive information about use of animals in research?: Meetings ,http://bit.ly/2ELRqy1
12,2,OLSAnimal,Q8_12,Receive information about use of animals in research?: Telephone information line,http://bit.ly/2ELRqy1
13,2,OLSAnimal,Q8_13,Receive information about use of animals in research?: Television,http://bit.ly/2ELRqy1
14,2,OLSAnimal,Q8_14,Receive information about use of animals in research?: Do not want more information,http://bit.ly/2ELRqy1
15,2,OLSAnimal,Q8_15,Receive information about use of animals in research?: Mail ,http://bit.ly/2ELRqy1
16,2,OLSAnimal,Q8_16,Receive information about use of animals in research?: Email,http://bit.ly/2ELRqy1
17,2,OLSAnimal,Q8_17,Receive information about use of animals in research?: Other,http://bit.ly/2ELRqy1
18,2,OLSAnimal,Q8_18,Receive information about use of animals in research?: None of these,http://bit.ly/2ELRqy1
19,2,OLSAnimal,Q8_19,Receive information about use of animals in research?: Don,http://bit.ly/2ELRqy1
20,2,OLSAnimal,Q9a,How much do you know about the UK Government,http://bit.ly/2ELRqy1
21,2,OLSAnimal,Q9b,How much do you know about the UK Government,http://bit.ly/2ELRqy1
22,2,OLSAnimal,Q9c,How much do you know about the UK Government,http://bit.ly/2ELRqy1
23,2,OLSAnimal,Q10,Did you or did you not know that there is a UK national scientific centre called NC3Rs?,http://bit.ly/2ELRqy1
24,2,OLSAnimal,Q11a_1,Are researchers allowed to use animals for: Research to advance our understanding of the human body,http://bit.ly/2ELRqy1
25,2,OLSAnimal,Q11a_2,Are researchers allowed to use animals for: Trying to develop new treatments for specific diseases,http://bit.ly/2ELRqy1
26,2,OLSAnimal,Q11a_3,Are researchers allowed to use animals for: Research to advance our  understanding of animal health,http://bit.ly/2ELRqy1
27,2,OLSAnimal,Q11a_4,Are researchers allowed to use animals for: Testing cosmetics ,http://bit.ly/2ELRqy1
28,2,OLSAnimal,Q11a_5,Are researchers allowed to use animals for: Developing new methods of medical diagnosis,http://bit.ly/2ELRqy1
29,2,OLSAnimal,Q11a_6,Are researchers allowed to use animals for: Safety testing of the ingredients of home cleaning products,http://bit.ly/2ELRqy1
30,2,OLSAnimal,Q11a_7,Are researchers allowed to use animals for: Safety testing of chemicals used in industry or farming,http://bit.ly/2ELRqy1
31,2,OLSAnimal,Q11a_8,Are researchers allowed to use animals for: None of these,http://bit.ly/2ELRqy1
32,2,OLSAnimal,Q11a_9,Are researchers allowed to use animals for: Don,http://bit.ly/2ELRqy1
33,2,OLSAnimal,Q11b_1,Should researchers be allowed to use animals for: Research to advance our understanding of the human body,http://bit.ly/2ELRqy1
34,2,OLSAnimal,Q11b_2,Should researchers be allowed to use animals for: Trying to develop new treatments for specific diseases,http://bit.ly/2ELRqy1
35,2,OLSAnimal,Q11b_3,Should researchers be allowed to use animals for: Research to advance our  understanding of animal health,http://bit.ly/2ELRqy1
36,2,OLSAnimal,Q11b_4,Should researchers be allowed to use animals for: Testing cosmetics ,http://bit.ly/2ELRqy1
37,2,OLSAnimal,Q11b_5,Should researchers be allowed to use animals for: Developing new methods of medical diagnosis,http://bit.ly/2ELRqy1
38,2,OLSAnimal,Q11b_6,Should researchers be allowed to use animals for: Safety testing of the ingredients of home cleaning products,http://bit.ly/2ELRqy1
39,2,OLSAnimal,Q11b_7,Should researchers be allowed to use animals for: Safety testing of chemicals used in industry or farming,http://bit.ly/2ELRqy1
40,2,OLSAnimal,Q11b_8,Should researchers be allowed to use animals for: None of these,http://bit.ly/2ELRqy1
41,2,OLSAnimal,Q11b_9,Should researchers be allowed to use animals for: Don,http://bit.ly/2ELRqy1
