Var_Name,Var_Text
OTHCREDT,OTHER PEOPLE TAKE CREDIT FOR RS WORK OR IDEAS
FRNDSEX,R HAD SEX WITH FRIEND LAST YEAR
SEX,SEX5SEX OF SEX PARTNERS LAST FIVE YEARS
WORDB,WORD B
WKAGEISM,R FEELS DISCRIMINATED BECAUSE OF AGE
CONFINAN,CONFID IN BANKS & FINANCIAL INSTITUTIONS
ENGDA,HAPPY IF DAUGHTER ENGINEER
MAOCCINDV,MOTHER'S OCC/IND VERBATIM RETRIEVED
RANK,10RS SOCIAL RANK 10 YEARS AGO
ENGPROB,ENGINEERS HELP SOLVE PROB
RELSP1,1RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
RELSP1,3RELATIONSHIP OF PERSON 13 TO SPOUSE OF HOUSEHO
EVCRACK,R EVER USE CRACK COCAINE
RELHHD1,RELATION OF 1ST PERSON TO HOUSEHOLD HEAD
SHOP1,WHO IN HOUSEHOLD SHOPS FOR GROCERIES
MAR4,MARITAL STATUS OF 4TH PERSON
ADVFRONT,SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
HARJOB5,"IN LAST 5 YRS, R HAS EVER BEEN HARASSED ON JOB BC R WAS BELIEVED TO BE GAY/LES/BI"
INCOME,16TOTAL FAMILY INCOME
FEPRESCH,PRESCHOOL KIDS SUFFER IF MOTHER WORKS
RACDIF1,DIFFERENCES DUE TO DISCRIMINATION
RES2010,WAS R LIVING IN USA DURING APRIL-JUNE 2010
RELHHD1,1RELATION OF 11TH PERSON (VISITOR) TO HEAD
SAMPLE,SAMPLING FRAME AND METHOD
SPKHOMO,ALLOW HOMOSEXUAL TO SPEAK
CONJUDGE,CONFID. IN UNITED STATES SUPREME COURT
OBEY,LAWSHOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
SEX,RESPONDENTS SEX
CONEDUC,YEDUCATION -- VERSION Z
NATRACE,ZIMPROVING CONDITIONS OF BLACKS -- VER Z
ENGODD,ENGINEERS ODD AND PECULIAR
NEWS,KILLI WOULD ACCEPT JOB THAT REQUIRES NEW SKILLS
RELATE1,1RELATION OF 11TH PERSON (VISITOR) TO HEAD
SOCFREND,SPEND EVENING WITH FRIENDS
TAX,POORTAXES ON LOW INCOME PEOPLE TOO HIGH
WORDC,WORD C
ENGGOOD,ENGINEERS WORK FOR GOOD OF HUMANITY
PRETEEN,HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
WHERE1,0WHERE IS 1OTH PERSON STAYING?
GRADTOUNDER,RATIO OF GRADUATE STUDENTS TO UNDERGRADUATE STUDENTS IN COLLEGE RESPONDEN
DECKIDS,WHO MAKES DECISION ABOUT HOW TO BRING UP CHILDREN
COURTS,YCOURTS DEALING WITH CRIMINALS-VERSION Y
REALINC,FAMILY INCOME IN CONSTANT $
RACE,CEN2WHAT IS RS RACE 2ND MENTION
HELPHWRK,HELPED SOMEONE WITH HWORK DURING PAST 12 MONTHS
BMITZVAH,R HAD BAR OR BAT MITZVAH WHEN R WAS A CHILD
RELHHD8,RELATION OF 8TH PERSON TO HOUSEHOLD HEAD
MAIND10,MOTHERS INDUSTRY CODE (NAICS 2007)
GOODLIFE,STANDARD OF LIVING OF R WILL IMPROVE
SCIFROM,MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY
RELHHD7,RELATION OF 7TH PERSON TO HOUSEHOLD HEAD
DENYRAIS,DENIED RAISE WITHOUT REASON AT WORK
CARECOST,WHO SHOULD PAY FOR COSTS OF CARE FOR UNDER SCHOOL AGE CHILD
PAIDLV,PYWHO PAYS FOR LEAVE
NATFARE,YASSISTANCE TO THE POOR -- VERSION Y
NUMWOMEN,NUMBER OF FEMALE SEX PARTNERS SINCE 18
RACE,THMNWHAT RACE/ETH IS OTHER REFERRING TO
WWWMIN,OMINUTES PER WEEK USING OTHER COMPUTER WWW
AGE,WEDAGE WHEN FIRST MARRIED
RACE,THBLPOINTS ASSIGNED TO BLACK/AFRICAN AMERICAN
PHASE,SUBSAMPLING: TWO-PHASE DESIGN.
HSCHEM,R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
CONINC,FAMILY INCOME IN CONSTANT DOLLARS
NATHEAL,IMPROVING & PROTECTING NATIONS HEALTH
SCIENTSN,HAPPY IF SON SCIENTIST
NATAIDY,ASSISTANCE TO OTHER COUNTRIES -- VER Y
FAMWKBST,BEST WAY TO ORG FAMILY WORK LIFE WITH UNDER SCHOOL AGE CHILD
ENGLONE,ENGINEERS USUALLY WORK ALONE
ACCNTSCI,HOW SCIENTIFIC: ACCOUNTING
JOBFIND,1HOW EASY FOR R TO FIND A SAME JOB
RELIG,5RELIGIOUS PREFERENCE OF PERSON #5
EVOLVED,1HUMANS DEVELOPED FROM EARLIER SPECIES: TRUE OR FALSE
INTINTL,INTERESTED IN INTERNATIONAL ISSUES
KIDNOFRE,KIDS INTERFERE WITH PARENTS' FREEDOM
HHWKFAIR,SHARING OF HH WORK BETWEEN R AND SPOUSE
PASEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN PAOCC10 BASED ON ACS 2010
ABNOMORE,MARRIED--WANTS NO MORE CHILDREN
MAJORCOL,THE FIELD OF DEGREE R EARNED
POLEFY15,HOW INFORMED ABOUT POLITICS
NEWS,FROMMAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
RELIG,4RELIGIOUS PREFERENCE OF PERSON #4
RELIG16,RELIGION IN WHICH RAISED
SEEKSCI,PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES
SEXSEX,5SEX OF SEX PARTNERS LAST FIVE YEARS
AWAY7,IS 7TH PERSON STAYING SOMEWHERE ELSE NOW?
RELIG,1RELIGIOUS PREFERENCE OF PERSON #1
VERSION,VERSION OF QUESTIONNAIRE
THNKSELF,TO THINK FOR ONES SELF
PAIND10,FATHERS INDUSTRY CODE (NAICS 2007)
MAPRES10,MOTHER'S OCCUPATIONAL PRESTIGE SCORE (2010)
EMAILHR,EMAIL HOURS PER WEEK
SEXORNT,SEXUAL ORIENTATION
ACQNTSEX,R HAD SEX WITH ACQUAINTANCE LAST YEAR
SPEDUC,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE"
OTH16,OTHER PROTESTANT DENOMINATIONS
RELATE1,3RELATION OF 13TH PERSON (VISITOR) TO HEAD
