Var_Name,Var_Text
FRNDSEX,R HAD SEX WITH FRIEND LAST YEAR
SEX,SEX5SEX OF SEX PARTNERS LAST FIVE YEARS
WORDB,WORD B
CONFINAN,CONFID IN BANKS & FINANCIAL INSTITUTIONS
RANK,10RS SOCIAL RANK 10 YEARS AGO
RELSP1,1RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
AIDHOUSE,GOV. SHOULD PROVIDE HOUSING TO POOR
RELSP1,3RELATIONSHIP OF PERSON 13 TO SPOUSE OF HOUSEHO
WANTJOB1,WHICH JOB WOULD YOU PREFER               
COIND10,PARTNERS INDUSTRY CODE (2010)
EVCRACK,R EVER USE CRACK COCAINE
RELHHD1,RELATION OF 1ST PERSON TO HOUSEHOLD HEAD
WORNOJOB,DO YOU WORRY ABOUT NOT FINDING JOB
MAR4,MARITAL STATUS OF 4TH PERSON
ADVFRONT,SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
ARTEXBT,DID R GO TO AN ART EXHIBIT IN LAST 12 MONTHS
INCOME,16TOTAL FAMILY INCOME
FEPRESCH,PRESCHOOL KIDS SUFFER IF MOTHER WORKS
RACDIF1,DIFFERENCES DUE TO DISCRIMINATION
RELHHD1,1RELATION OF 11TH PERSON (VISITOR) TO HEAD
SAMPLE,SAMPLING FRAME AND METHOD
SPKHOMO,ALLOW HOMOSEXUAL TO SPEAK
LOTR3,I'M ALWAYS OPTIMISTIC ABOUT MY FUTURE
CONJUDGE,CONFID. IN UNITED STATES SUPREME COURT
OBEY,LAWSHOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
SUITIME1,HOW MANY YEARS AND MONTHS SINCE CLOSEST SUICIDE
SEX,RESPONDENTS SEX
CONEDUC,YEDUCATION -- VERSION Z
NATRACE,ZIMPROVING CONDITIONS OF BLACKS -- VER Z
NEWS,KILLI WOULD ACCEPT JOB THAT REQUIRES NEW SKILLS
PRFMGST,DID NOT GO BECAUSE COULDN'T FIND ANYONE TO GO WITH
RELATE1,1RELATION OF 11TH PERSON (VISITOR) TO HEAD
SOCFREND,SPEND EVENING WITH FRIENDS
TAX,PAIDDO AUTHORITIES ENSURE TAXES ARE PAID
TAX,POORTAXES ON LOW INCOME PEOPLE TOO HIGH
NOUNEMP2, R WOULD ACCEPT POSITION WITH LOWER PAY TO AVOID UNEMPLOYMENT
EQUALIZE,GOVTS RESP: REDUCE INCOME DIFFERENCES
WORDC,WORD C
PRETEEN,HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
WHERE1,0WHERE IS 1OTH PERSON STAYING?
GRADTOUNDER,RATIO OF GRADUATE STUDENTS TO UNDERGRADUATE STUDENTS IN COLLEGE RESPONDEN
